S,K,tau,r,q,price,expiry,days,moneyness,bucket
751.280029296875,687.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,68.745,2026-08-07,31,0.09356627263009461,ITM
751.280029296875,690.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,65.855,2026-08-07,31,0.08881163666213768,ITM
751.280029296875,694.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,62.025000000000006,2026-08-07,31,0.08253606526927233,ITM
751.280029296875,696.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,60.120000000000005,2026-08-07,31,0.07942532944953305,ITM
751.280029296875,698.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,58.22,2026-08-07,31,0.07633242019609598,ITM
751.280029296875,702.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,54.44,2026-08-07,31,0.07019947193287036,ITM
751.280029296875,706.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,50.69,2026-08-07,31,0.06413601883410057,ITM
751.280029296875,710.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,46.985,2026-08-07,31,0.05814088633362676,ITM
751.280029296875,712.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,45.15,2026-08-07,31,0.055168580473139044,ITM
751.280029296875,715.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,42.415000000000006,2026-08-07,31,0.05074129971590909,ITM
751.280029296875,719.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,38.82,2026-08-07,31,0.04489572920288595,ITM
751.280029296875,721.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,37.05,2026-08-07,31,0.0419972667085645,ITM
751.280029296875,724.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,34.42,2026-08-07,31,0.037679598476346686,ITM
751.280029296875,726.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,32.69,2026-08-07,31,0.034820976992940775,ITM
751.280029296875,728.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,30.985,2026-08-07,31,0.031978062220982144,ITM
751.280029296875,730.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,29.02,2026-08-07,31,0.02915072506421233,ATM
751.280029296875,732.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,27.65,2026-08-07,31,0.026338837837260928,ATM
751.280029296875,734.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,25.97,2026-08-07,31,0.023542274246423706,ATM
751.280029296875,736.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,24.365000000000002,2026-08-07,31,0.020760909370754078,ATM
751.280029296875,738.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,22.775,2026-08-07,31,0.01799461964346206,ATM
751.280029296875,740.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,21.310000000000002,2026-08-07,31,0.015243282833614865,ATM
751.280029296875,742.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,19.744999999999997,2026-08-07,31,0.012506778028133422,ATM
751.280029296875,744.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,18.285,2026-08-07,31,0.0097849856140793,ATM
751.280029296875,746.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,16.85,2026-08-07,31,0.007077787261226542,ATM
751.280029296875,748.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,15.28,2026-08-07,31,0.0043850659049131015,ATM
751.280029296875,750.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,14.26,2026-08-07,31,0.0017067057291666667,ATM
751.280029296875,752.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,12.96,2026-08-07,31,-0.0009574078499002659,ATM
751.280029296875,754.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,11.75,2026-08-07,31,-0.0036073882004310346,ATM
751.280029296875,756.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,10.6,2026-08-07,31,-0.006243347490906085,ATM
751.280029296875,758.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,9.52,2026-08-07,31,-0.008865396705969657,ATM
751.280029296875,760.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,8.5,2026-08-07,31,-0.011473645662006579,ATM
751.280029296875,762.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,7.550000000000001,2026-08-07,31,-0.014068203022473753,ATM
751.280029296875,764.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,6.67,2026-08-07,31,-0.016649176312990836,ATM
751.280029296875,766.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,5.855,2026-08-07,31,-0.019216671936194515,ATM
751.280029296875,768.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,5.109999999999999,2026-08-07,31,-0.021770795186360676,ATM
751.280029296875,770.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,4.4399999999999995,2026-08-07,31,-0.024311650263798702,ATM
751.280029296875,772.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,3.83,2026-08-07,31,-0.02683934028902202,ATM
751.280029296875,774.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,3.285,2026-08-07,31,-0.029353967316698967,ATM
751.280029296875,776.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,2.8049999999999997,2026-08-07,31,-0.03185563234938789,OTM
751.280029296875,778.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,2.385,2026-08-07,31,-0.03434443535106041,OTM
751.280029296875,780.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,2.01,2026-08-07,31,-0.036820475260416666,OTM
751.280029296875,782.0,0.08493150684931507,0.0369000005722045,-0.012149920012419789,1.69,2026-08-07,31,-0.03928385000399617,OTM
